time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.479090	8.0	2.0	80.0	-56.731988	20283268.257154	780.0	4.0	694.0	28.0	1250.0	146.0	16971.0	13	vertical	1
7.580608	8.002717	2.0	80.0	-56.807065	21375845.93359	780.233696	10.0	736.0	30.0	1236.0	112.0	12820.0	13	vertical	1
7.682231	8.0	2.0	80.0	-56.796875	20361381.92348	780.0	9.0	704.0	17.0	1237.0	130.0	16934.0	13	vertical	1
7.782535	8.004854	2.0	80.0	-56.864078	24246906.011159	780.417476	7.0	824.0	36.0	1252.0	116.0	12752.0	13	vertical	1
7.882773	8.0	2.0	80.0	-56.810596	22310698.815811	780.0	5.0	755.0	28.0	1229.0	111.0	12791.0	13	vertical	1
7.983410	8.0	2.0	80.0	-56.925474	21743416.209761	780.0	5.0	738.0	13.0	1250.0	125.0	8718.0	13	vertical	1
8.084195	8.0	2.0	80.0	-56.837451	22499485.295321	780.0	13.0	769.0	42.0	1248.0	119.0	29193.0	13	vertical	1
8.184840	8.0	2.0	80.0	-56.885599	21775346.435766	780.0	4.0	743.0	34.0	1211.0	139.0	16888.0	13	vertical	1
8.285201	8.0	2.0	80.0	-56.760375	22035785.338349	780.0	2.0	747.0	17.0	1279.0	122.0	29222.0	13	vertical	1
8.386343	8.003521	2.0	80.0	-56.865023	24769914.442192	780.302817	8.0	852.0	38.0	1246.0	111.0	4528.0	13	vertical	1
8.486448	8.005284	2.0	80.0	-56.837517	22357165.098095	780.454425	11.0	757.0	46.0	1123.0	115.0	12700.0	13	vertical	1
8.588010	8.0	2.0	80.0	-56.918182	22402380.38067	780.0	9.0	770.0	28.0	1237.0	108.0	12784.0	13	vertical	1
8.689461	8.0	2.0	80.0	-56.918605	22742317.639609	780.0	9.0	774.0	23.0	1274.0	128.0	16908.0	13	vertical	1
8.789978	8.0	2.0	80.0	-56.88	22049780.93389	780.0	6.0	750.0	38.0	1231.0	132.0	37383.0	13	vertical	1
8.891365	8.0	2.0	80.0	-56.845222	21675856.536208	780.0	9.0	743.0	42.0	1223.0	113.0	4557.0	13	vertical	1
8.991407	8.004392	2.0	80.0	-56.88287	20213494.656596	780.377745	6.0	683.0	21.0	1260.0	117.0	12948.0	13	vertical	1
9.091702	8.0	2.0	80.0	-56.916558	22622638.030483	780.0	9.0	767.0	23.0	1246.0	128.0	16886.0	13	vertical	1
9.191704	8.0	2.0	80.0	-56.919028	21944616.877388	780.0	9.0	741.0	36.0	1214.0	130.0	12801.0	13	vertical	1
9.292312	8.004178	2.0	80.0	-56.981894	21027961.024605	780.359331	15.0	718.0	44.0	1248.0	118.0	21054.0	13	vertical	1
9.392917	8.0	2.0	80.0	-56.87156	22429932.441271	780.0	6.0	763.0	34.0	1243.0	124.0	20992.0	13	vertical	1
9.492981	8.0	2.0	80.0	-56.878179	22191713.032317	780.0	5.0	747.0	27.0	1226.0	105.0	8698.0	13	vertical	1
9.593188	8.0	2.0	80.0	-56.958069	23231133.095769	780.0	7.0	787.0	26.0	1259.0	112.0	16882.0	13	vertical	1
9.694412	8.002621	2.0	80.0	-57.026212	22353008.458904	780.225426	13.0	763.0	58.0	1225.0	127.0	25098.0	13	vertical	1
9.794792	8.0	2.0	80.0	-56.989086	21598037.652713	780.0	18.0	733.0	31.0	1244.0	116.0	16926.0	13	vertical	1
9.896318	8.0	2.0	80.0	-56.988038	24425294.361533	780.0	11.0	836.0	30.0	1296.0	131.0	4587.0	13	vertical	1
9.996329	8.0	2.0	80.0	-56.969822	21629599.864071	780.0	5.0	729.0	35.0	1240.0	116.0	21026.0	13	vertical	1
10.096685	8.0	2.0	80.0	-57.043767	22147119.662356	780.0	7.0	754.0	43.0	1222.0	135.0	29184.0	13	vertical	1
10.197129	8.001304	2.0	80.0	-57.007823	22572655.741892	780.112125	13.0	767.0	27.0	1279.0	108.0	8731.0	13	vertical	1
10.297954	8.001389	2.0	80.0	-57.031944	21135007.72428	780.119444	8.0	720.0	31.0	1259.0	136.0	16955.0	13	vertical	1
10.399535	8.0	2.0	80.0	-57.062078	21603547.302479	780.0	16.0	741.0	45.0	1229.0	117.0	12821.0	13	vertical	1
10.499858	8.0	2.0	80.0	-57.010753	18901475.60537	780.0	2.0	651.0	17.0	1058.0	109.0	16808.0	13	vertical	1
10.601223	8.0	2.0	80.0	-57.015314	18634461.274771	780.0	5.0	653.0	17.0	1037.0	106.0	4499.0	13	vertical	1
10.702544	8.0	2.0	80.0	-56.915094	18686213.248612	780.0	9.0	636.0	56.0	981.0	102.0	4496.0	13	vertical	1
10.803817	8.0	2.0	80.0	-56.903448	21044446.518485	780.0	11.0	725.0	28.0	1203.0	102.0	12798.0	13	vertical	1
10.904455	8.00142	2.0	80.0	-56.921875	20709988.733492	780.122159	8.0	704.0	45.0	1216.0	100.0	4651.0	13	vertical	1
11.004458	8.0	2.0	80.0	-56.897233	22455612.843742	780.0	6.0	759.0	31.0	1265.0	132.0	25114.0	13	vertical	1
11.104734	8.0	2.0	80.0	-56.946085	22937466.857107	780.0	15.0	779.0	46.0	1233.0	128.0	20980.0	13	vertical	1
11.205025	8.0	2.0	80.0	-56.845494	20763852.022249	780.0	15.0	699.0	33.0	1219.0	114.0	4649.0	13	vertical	1
11.305094	8.0	2.0	80.0	-57.067925	23495258.342965	780.0	14.0	795.0	25.0	1258.0	126.0	8683.0	13	vertical	1
11.407581	8.0	2.0	80.0	-56.841772	22849472.922923	780.0	8.0	790.0	33.0	1279.0	117.0	16905.0	13	vertical	1
11.508786	8.0	2.0	80.0	-57.016173	21698483.620244	780.0	7.0	742.0	13.0	1248.0	117.0	21001.0	13	vertical	1
11.609673	8.0	2.0	80.0	-56.936224	22952863.688491	780.0	14.0	784.0	36.0	1239.0	118.0	8683.0	13	vertical	1
11.710209	8.0	2.0	80.0	-56.925222	23292134.762728	780.0	10.0	789.0	27.0	1252.0	117.0	29162.0	13	vertical	1
11.810977	8.0	2.0	80.0	-56.914326	20944797.365467	780.0	4.0	712.0	40.0	1206.0	120.0	25111.0	13	vertical	1
11.911572	8.0	2.0	80.0	-56.88375	23632555.572024	780.0	5.0	800.0	32.0	1243.0	112.0	4572.0	13	vertical	1
12.012924	8.0	2.0	80.0	-57.015038	23515226.40312	780.0	10.0	798.0	28.0	1236.0	119.0	20946.0	13	vertical	1
12.113435	8.003606	2.0	80.0	-56.919471	24398971.260437	780.310096	11.0	832.0	40.0	1244.0	109.0	8644.0	13	vertical	1
12.213440	8.004225	2.0	80.0	-57.001408	21193267.118489	780.36338	9.0	710.0	29.0	1275.0	130.0	599.0	13	vertical	1
12.313991	8.0	2.0	80.0	-56.893561	22424575.668269	780.0	12.0	761.0	22.0	1226.0	109.0	4580.0	13	vertical	1
12.414730	8.0	2.0	80.0	-56.936842	22158151.759325	780.0	8.0	760.0	26.0	1237.0	122.0	12792.0	13	vertical	1
12.514732	8.0	2.0	80.0	-56.905732	23321715.034712	780.0	6.0	785.0	50.0	1266.0	115.0	33298.0	13	vertical	1
12.614741	8.00545	2.0	80.0	-56.979564	21784842.414061	780.468665	11.0	734.0	44.0	1223.0	130.0	25110.0	13	vertical	1
12.715990	8.0	2.0	80.0	-56.880862	22903812.745053	780.0	4.0	789.0	39.0	1205.0	93.0	4551.0	13	vertical	1
12.816524	8.0	2.0	80.0	-56.971503	22724586.840727	780.0	12.0	772.0	39.0	1213.0	115.0	25056.0	13	vertical	1
12.917564	8.005326	2.0	80.0	-56.973369	22041267.900716	780.458056	4.0	751.0	25.0	1216.0	111.0	20971.0	13	vertical	1
13.019042	8.0	2.0	80.0	-56.945578	21295101.751148	780.0	6.0	735.0	27.0	1078.0	118.0	16754.0	13	vertical	1
13.119283	8.0	2.0	80.0	-56.956305	23596744.53069	780.0	7.0	801.0	61.0	1204.0	120.0	8656.0	13	vertical	1
13.220049	8.0	2.0	80.0	-57.085603	22536478.414642	780.0	14.0	771.0	27.0	1196.0	131.0	22982.0	13	vertical	1
13.321219	8.003614	2.0	80.0	-56.987952	24311316.109657	780.310843	12.0	830.0	46.0	1280.0	125.0	23025.0	13	vertical	1
13.422480	8.0	2.0	80.0	-56.933962	24812510.668584	780.0	8.0	848.0	42.0	1240.0	117.0	20914.0	13	vertical	1
13.523193	8.0	2.0	80.0	-56.978616	23464497.552805	780.0	8.0	795.0	43.0	1266.0	120.0	16898.0	13	vertical	1
13.623594	8.0	2.0	80.0	-56.987654	21515069.287444	780.0	10.0	729.0	36.0	1231.0	95.0	12828.0	13	vertical	1
13.723600	8.0	2.0	80.0	-56.979196	21262976.991968	780.0	9.0	721.0	17.0	1252.0	140.0	21034.0	13	vertical	1
13.824112	8.0	2.0	80.0	-57.006974	21137456.39497	780.0	13.0	717.0	29.0	1201.0	113.0	12802.0	13	vertical	1
13.924136	8.0	2.0	80.0	-56.994872	23117138.135826	780.0	11.0	780.0	38.0	1244.0	124.0	33268.0	13	vertical	1
14.024149	8.0	2.0	80.0	-57.102433	23196111.464343	780.0	5.0	781.0	36.0	1239.0	118.0	29166.0	13	vertical	1
14.125207	8.001362	2.0	80.0	-57.038147	21380006.797287	780.117166	9.0	734.0	19.0	1261.0	112.0	21028.0	13	vertical	1
14.225594	8.0	2.0	80.0	-56.897842	20651222.390636	780.0	6.0	695.0	18.0	1239.0	128.0	16946.0	13	vertical	1
14.326319	8.0	2.0	80.0	-56.967617	22694599.839192	780.0	17.0	772.0	58.0	1215.0	110.0	20982.0	13	vertical	1
14.427043	8.0	2.0	80.0	-56.969058	20863493.937039	780.0	11.0	711.0	43.0	1220.0	112.0	4648.0	13	vertical	1
14.527881	8.001224	2.0	80.0	-57.082007	24038708.126032	780.105263	4.0	817.0	45.0	1236.0	123.0	8656.0	13	vertical	1
14.628606	8.0	2.0	80.0	-57.034974	22441425.553768	780.0	4.0	772.0	55.0	1164.0	110.0	25024.0	13	vertical	1
14.729362	8.0	2.0	80.0	-57.035294	24891993.400927	780.0	9.0	850.0	50.0	1261.0	123.0	41421.0	13	vertical	1
14.831033	8.0	2.0	80.0	-57.066176	23662142.135476	780.0	6.0	816.0	27.0	1238.0	106.0	12741.0	13	vertical	1
14.932457	8.004005	2.0	80.0	-57.136182	21864702.128416	780.344459	8.0	749.0	78.0	1215.0	121.0	8733.0	13	vertical	1
15.032646	8.0	2.0	80.0	-57.142012	24894086.019654	780.0	6.0	845.0	38.0	1258.0	131.0	29124.0	13	vertical	1
15.133250	8.0	2.0	80.0	-57.115885	22614463.62048	780.0	17.0	768.0	58.0	1193.0	102.0	12770.0	13	vertical	1
15.233575	8.004367	2.0	80.0	-57.040757	20146283.554463	780.375546	8.0	687.0	32.0	1126.0	128.0	25048.0	13	vertical	1
15.334549	8.0	2.0	80.0	-56.911392	20903129.025113	780.0	15.0	711.0	24.0	1221.0	139.0	21016.0	13	vertical	1
15.434721	8.0	2.0	80.0	-57.038411	22324843.609135	780.0	7.0	755.0	27.0	1253.0	130.0	12813.0	13	vertical	1
15.535664	8.001359	2.0	80.0	-57.040761	21511262.965768	780.116848	4.0	736.0	29.0	1206.0	119.0	33267.0	13	vertical	1
15.636686	8.0	2.0	80.0	-57.056555	22945736.78402	780.0	9.0	778.0	17.0	1294.0	124.0	16924.0	13	vertical	1
15.736912	8.002525	2.0	80.0	-57.785354	23502404.565682	780.217172	21.0	792.0	48.0	1239.0	127.0	20970.0	13	vertical	1
15.837545	8.0	2.0	80.0	-58.059805	21068234.090068	780.0	17.0	719.0	27.0	1221.0	126.0	16913.0	13	vertical	1
15.938763	8.001307	2.0	80.0	-57.89281	22429195.053924	780.112418	12.0	765.0	48.0	1259.0	111.0	16929.0	13	vertical	1
16.038921	8.0	2.0	80.0	-57.99569	20593224.788728	780.0	4.0	696.0	39.0	1207.0	112.0	12836.0	13	vertical	1
16.138926	8.0	2.0	80.0	-58.050331	22225388.286078	780.0	6.0	755.0	37.0	1229.0	124.0	16896.0	13	vertical	1
16.242808	8.002692	2.0	80.0	-57.989233	21184187.761431	780.231494	4.0	743.0	45.0	1260.0	121.0	8754.0	13	vertical	1
16.344651	8.001255	2.0	80.0	-58.066499	23089084.901179	780.107905	10.0	797.0	26.0	1274.0	126.0	29177.0	13	vertical	1
16.444655	8.0	2.0	80.0	-57.964529	21559326.631678	780.0	7.0	733.0	24.0	1235.0	125.0	16918.0	13	vertical	1
16.545096	8.0	2.0	80.0	-57.994645	21777462.444229	780.0	11.0	747.0	28.0	1213.0	120.0	25063.0	13	vertical	1
16.645541	8.0	2.0	80.0	-58.048408	23190112.641479	780.0	4.0	785.0	28.0	1266.0	135.0	16894.0	13	vertical	1
16.747024	8.0	2.0	80.0	-58.036232	20067038.066806	780.0	6.0	690.0	10.0	1215.0	117.0	33303.0	13	vertical	1
16.847933	8.0	2.0	80.0	-58.018233	20901765.460179	780.0	12.0	713.0	35.0	1234.0	122.0	25133.0	13	vertical	1
16.948242	8.0	2.0	80.0	-58.021362	22184005.910131	780.0	8.0	749.0	44.0	1198.0	129.0	16878.0	13	vertical	1
17.048532	8.0	2.0	80.0	-58.076205	18749737.450131	780.0	1.0	643.0	26.0	1075.0	113.0	8650.0	13	vertical	1
17.148585	8.006734	2.0	80.0	-58.047138	17353477.711306	780.579125	7.0	594.0	14.0	1006.0	108.0	4522.0	13	vertical	1
17.249163	8.0	2.0	80.0	-57.97006	19332101.262884	780.0	13.0	668.0	34.0	1081.0	124.0	20927.0	13	vertical	1
17.349354	8.0	2.0	80.0	-58.021311	17883921.650777	780.0	6.0	610.0	32.0	1002.0	103.0	430.0	13	vertical	1
17.450386	8.004471	2.0	80.0	-58.019374	19309806.16524	780.384501	6.0	671.0	43.0	977.0	107.0	16727.0	13	vertical	1
17.551534	8.0	2.0	80.0	-58.028765	17177898.801565	780.0	2.0	591.0	22.0	1013.0	121.0	8638.0	13	vertical	1
17.651649	8.0	2.0	80.0	-57.967977	19992737.777191	780.0	9.0	687.0	39.0	1080.0	95.0	432.0	13	vertical	1
17.752592	8.0	2.0	80.0	-58.02044	18414566.545877	780.0	6.0	636.0	18.0	1049.0	112.0	8624.0	13	vertical	1
17.852712	8.0	2.0	80.0	-58.003072	19059977.39247	780.0	8.0	651.0	18.0	1055.0	129.0	8614.0	13	vertical	1
17.952718	8.0	2.0	80.0	-58.086626	19373884.064278	780.0	9.0	658.0	43.0	1042.0	112.0	8621.0	13	vertical	1
18.052724	8.003565	2.0	80.0	-58.053476	16399242.398706	780.306595	9.0	561.0	27.0	999.0	106.0	12751.0	13	vertical	1
18.153086	8.0	2.0	80.0	-58.066667	18560408.72197	780.0	8.0	630.0	25.0	1060.0	103.0	20938.0	13	vertical	1
18.253881	8.0	2.0	80.0	-58.047198	19822691.687943	780.0	4.0	678.0	18.0	1088.0	115.0	12715.0	13	vertical	1
18.353893	8.0	2.0	80.0	-58.073969	20672780.0933	780.0	10.0	703.0	39.0	1241.0	107.0	12870.0	13	vertical	1
18.454995	8.0	2.0	80.0	-57.94528	21353735.146516	780.0	8.0	731.0	22.0	1215.0	117.0	8693.0	13	vertical	1
18.555360	8.002551	2.0	80.0	-58.08801	23117260.507235	780.219388	9.0	784.0	51.0	1208.0	127.0	16866.0	13	vertical	1
18.655387	8.0	2.0	80.0	-58.086957	21161171.665445	780.0	8.0	713.0	46.0	1242.0	123.0	25147.0	13	vertical	1
18.756393	8.0	2.0	80.0	-58.038259	22352477.219453	780.0	15.0	758.0	37.0	1226.0	115.0	12793.0	13	vertical	1
18.856924	8.005517	2.0	80.0	-58.093793	21244869.67867	780.474483	4.0	725.0	22.0	1256.0	127.0	12840.0	13	vertical	1
18.957462	8.0	2.0	80.0	-58.001269	23260876.501835	780.0	3.0	788.0	21.0	1246.0	136.0	29153.0	13	vertical	1
19.057913	8.0	2.0	80.0	-57.943421	22236732.753896	780.0	12.0	760.0	40.0	1212.0	113.0	12780.0	13	vertical	1
19.158398	8.0	2.0	80.0	-57.967296	23444080.018649	780.0	15.0	795.0	39.0	1210.0	114.0	16840.0	13	vertical	1
19.258938	8.0	2.0	80.0	-58.042953	21904395.606593	780.0	16.0	745.0	44.0	1268.0	123.0	21048.0	13	vertical	1
19.360321	8.0	2.0	80.0	-58.063211	23114519.109204	780.0	17.0	791.0	56.0	1205.0	114.0	20949.0	13	vertical	1
19.461273	8.0	2.0	80.0	-57.985525	24305055.868135	780.0	5.0	829.0	31.0	1250.0	127.0	12740.0	13	vertical	1
19.561558	8.0	2.0	80.0	-58.101351	21701088.10472	780.0	4.0	740.0	21.0	1218.0	109.0	4596.0	13	vertical	1
19.663037	8.002567	2.0	80.0	-57.984596	22755799.326858	780.220796	16.0	779.0	38.0	1270.0	119.0	4626.0	13	vertical	1
19.764075	8.001379	2.0	80.0	-58.048276	21140176.391715	780.118621	6.0	725.0	29.0	1114.0	123.0	37281.0	13	vertical	1
19.864364	8.0	2.0	80.0	-58.018773	23251265.67102	780.0	9.0	799.0	36.0	1230.0	106.0	4564.0	13	vertical	1
19.966155	8.0	2.0	80.0	-58.005333	21817556.152036	780.0	22.0	750.0	66.0	1206.0	116.0	12810.0	13	vertical	1
20.066844	8.0	2.0	80.0	-58.07443	24385363.875486	780.0	15.0	833.0	32.0	1245.0	105.0	8627.0	13	vertical	1
20.167257	8.0	2.0	80.0	-58.036111	21100737.166315	780.0	10.0	720.0	32.0	1216.0	118.0	16921.0	13	vertical	1
20.267937	8.005594	2.0	80.0	-58.005594	21174960.012397	780.481119	15.0	715.0	47.0	1202.0	133.0	25111.0	13	vertical	1
20.369416	8.0	2.0	80.0	-58.072427	23060342.648612	780.0	8.0	787.0	23.0	1230.0	130.0	16850.0	13	vertical	1
20.470368	8.0	2.0	80.0	-58.046875	20571500.277155	780.0	9.0	704.0	29.0	1272.0	136.0	25174.0	13	vertical	1
20.570369	8.0	2.0	80.0	-58.001359	21879671.705526	780.0	16.0	736.0	24.0	1204.0	122.0	8688.0	13	vertical	1
20.671478	8.0	2.0	80.0	-57.983217	20951150.579412	780.0	8.0	715.0	28.0	1214.0	123.0	16910.0	13	vertical	1
20.772318	8.002538	2.0	80.0	-58.043147	23251194.591832	780.218274	5.0	788.0	27.0	1246.0	125.0	20965.0	13	vertical	1
20.873885	8.0	2.0	80.0	-58.057766	22751366.681826	780.0	10.0	779.0	40.0	1219.0	114.0	20961.0	13	vertical	1
20.975174	8.001299	2.0	80.0	-58.074026	22433585.985144	780.111688	8.0	770.0	25.0	1271.0	114.0	4622.0	13	vertical	1
21.075425	8.0	2.0	80.0	-58.035994	18917458.062819	780.0	12.0	639.0	34.0	1190.0	132.0	12873.0	13	vertical	1
21.176278	8.0	2.0	80.0	-58.045573	22483272.088492	780.0	17.0	768.0	27.0	1243.0	123.0	25079.0	13	vertical	1
21.276280	8.0	2.0	80.0	-58.090175	22052325.128148	780.0	4.0	743.0	47.0	1196.0	134.0	8696.0	13	vertical	1
21.376852	8.003686	2.0	80.0	-58.012285	24143746.344729	780.316953	12.0	814.0	31.0	1257.0	132.0	16855.0	13	vertical	1
21.477658	8.0	2.0	80.0	-58.144854	23243002.770217	780.0	8.0	787.0	52.0	1230.0	126.0	16880.0	13	vertical	1
21.578292	8.0	2.0	80.0	-58.027668	22315447.759156	780.0	5.0	759.0	27.0	1234.0	124.0	16886.0	13	vertical	1
21.679639	8.003769	2.0	80.0	-57.982412	23394290.376073	780.324121	17.0	796.0	55.0	1225.0	143.0	37348.0	13	vertical	1
21.779650	8.0	2.0	80.0	-57.993917	24362673.77159	780.0	8.0	822.0	36.0	1230.0	117.0	16835.0	13	vertical	1
21.881174	8.0	2.0	80.0	-57.993103	21082838.565704	780.0	10.0	725.0	36.0	1204.0	131.0	25079.0	13	vertical	1
21.981739	8.0	2.0	80.0	-58.02086	22488659.329488	780.0	8.0	767.0	33.0	1170.0	122.0	20922.0	13	vertical	1
22.082325	8.0	2.0	80.0	-58.172775	22359784.237612	780.0	13.0	764.0	43.0	1230.0	139.0	16893.0	13	vertical	1
22.183126	8.0	2.0	80.0	-58.126344	21637441.276751	780.0	10.0	744.0	45.0	1215.0	128.0	16900.0	13	vertical	1
22.283699	8.001199	2.0	80.0	-58.074341	24670275.459756	780.103118	7.0	834.0	39.0	1256.0	111.0	12750.0	13	vertical	1
22.383705	8.005298	2.0	80.0	-58.013245	22438345.067833	780.455629	7.0	755.0	23.0	1210.0	107.0	4576.0	13	vertical	1
22.484037	8.0	2.0	80.0	-58.01034	19803786.291473	780.0	17.0	677.0	46.0	1202.0	123.0	16953.0	13	vertical	1
22.584963	8.001318	2.0	80.0	-58.044796	22446124.353365	780.113307	13.0	759.0	25.0	1253.0	133.0	37384.0	13	vertical	1
22.684971	8.0	2.0	80.0	-58.043597	21696194.028856	780.0	16.0	734.0	17.0	1207.0	121.0	4589.0	13	vertical	1
22.786401	8.0	2.0	80.0	-58.06	22059353.600357	780.0	10.0	750.0	24.0	1263.0	120.0	8728.0	13	vertical	1
22.887038	8.0	2.0	80.0	-58.072464	20189676.617688	780.0	15.0	690.0	46.0	1203.0	145.0	21042.0	13	vertical	1
22.989125	8.003722	2.0	80.0	-58.076923	23453802.697508	780.320099	4.0	806.0	38.0	1244.0	120.0	25051.0	13	vertical	1
23.089245	8.0	2.0	80.0	-58.072109	21611876.545181	780.0	7.0	735.0	20.0	1219.0	119.0	4600.0	13	vertical	1
23.190220	8.0	2.0	80.0	-58.005263	22360503.452255	780.0	7.0	760.0	38.0	1185.0	118.0	8655.0	13	vertical	1
23.290569	8.0	2.0	80.0	-58.018088	22766160.579145	780.0	14.0	774.0	23.0	1276.0	127.0	21006.0	13	vertical	1
23.391261	8.0	2.0	80.0	-58.122047	22381846.129883	780.0	8.0	762.0	11.0	1203.0	124.0	16838.0	13	vertical	1
23.491465	8.0	2.0	80.0	-58.085079	22400366.452163	780.0	8.0	764.0	27.0	1238.0	117.0	20980.0	13	vertical	1
23.591468	8.0	2.0	80.0	-58.120245	24024706.94215	780.0	9.0	815.0	29.0	1245.0	123.0	12748.0	13	vertical	1
23.692893	8.001261	2.0	80.0	-58.041614	23092396.393633	780.108449	13.0	793.0	33.0	1201.0	125.0	4532.0	13	vertical	1
23.792935	8.001266	2.0	80.0	-58.025316	23483173.387491	780.108861	16.0	790.0	64.0	1239.0	125.0	16903.0	13	vertical	1
23.894295	8.0	2.0	80.0	-58.028112	21789317.790307	780.0	15.0	747.0	48.0	1194.0	107.0	8689.0	13	vertical	1
23.994677	8.0	2.0	80.0	-58.013245	22081882.728878	780.0	15.0	755.0	21.0	1240.0	131.0	16890.0	13	vertical	1
24.094950	8.0	2.0	80.0	-58.141026	18061395.508847	780.0	12.0	624.0	40.0	988.0	106.0	12692.0	13	vertical	1
24.195474	8.003333	2.0	80.0	-58.126667	17382258.550404	780.286667	6.0	600.0	16.0	966.0	103.0	8574.0	13	vertical	1
24.295638	8.0	2.0	80.0	-58.108025	18943484.757981	780.0	3.0	648.0	24.0	1071.0	98.0	4544.0	13	vertical	1
24.396647	8.0	2.0	80.0	-58.060556	17664487.986025	780.0	4.0	611.0	18.0	1033.0	111.0	12728.0	13	vertical	1
24.497446	8.0	2.0	80.0	-58.07728	18569093.261601	780.0	7.0	647.0	31.0	1051.0	111.0	8627.0	13	vertical	1
24.598748	8.0	2.0	80.0	-58.118619	19401392.576815	780.0	11.0	666.0	43.0	1065.0	122.0	25019.0	13	vertical	1
24.699398	8.0	2.0	80.0	-57.9952	18070484.965962	780.0	6.0	625.0	21.0	1025.0	121.0	16806.0	13	vertical	1
24.799584	8.0	2.0	80.0	-57.988333	17349313.68915	780.0	9.0	600.0	19.0	1089.0	130.0	16892.0	13	vertical	1
24.900260	8.0	2.0	80.0	-57.987805	19140379.359896	780.0	7.0	656.0	38.0	995.0	110.0	12667.0	13	vertical	1
25.001449	8.0	2.0	80.0	-58.102694	17066833.747123	780.0	13.0	594.0	36.0	1035.0	107.0	4571.0	13	vertical	1
25.102656	8.001565	2.0	80.0	-58.115806	18426619.462846	780.134585	11.0	639.0	24.0	1098.0	123.0	8676.0	13	vertical	1
25.203445	8.0	2.0	80.0	-58.091667	17396744.920372	780.0	9.0	600.0	18.0	1009.0	111.0	12715.0	13	vertical	1
25.303942	8.0	2.0	80.0	-58.068759	19603468.431789	780.0	4.0	669.0	28.0	1084.0	111.0	12731.0	13	vertical	1
25.404254	8.0	2.0	80.0	-58.004823	18128995.236199	780.0	7.0	622.0	16.0	1037.0	107.0	8623.0	13	vertical	1
25.504653	8.0	2.0	80.0	-58.055814	18582318.750937	780.0	3.0	645.0	21.0	1034.0	110.0	16795.0	13	vertical	1
25.605140	8.0	2.0	80.0	-58.057011	18853379.187731	780.0	4.0	649.0	26.0	1086.0	117.0	463.0	13	vertical	1
25.705659	8.0	2.0	80.0	-58.038397	17410782.849922	780.0	4.0	599.0	27.0	993.0	109.0	8613.0	13	vertical	1
25.806624	8.0	2.0	80.0	-58.110759	18273632.421412	780.0	6.0	632.0	30.0	1079.0	123.0	12767.0	13	vertical	1
25.909266	8.003284	2.0	80.0	-58.0	17249980.300567	780.28243	7.0	609.0	29.0	1063.0	111.0	8675.0	13	vertical	1
26.010308	8.0	2.0	80.0	-58.0475	23454294.84114	780.0	12.0	800.0	45.0	1192.0	125.0	8629.0	13	vertical	1
26.110694	8.005376	2.0	80.0	-58.010753	21938417.632714	780.462366	5.0	744.0	22.0	1247.0	128.0	25102.0	13	vertical	1
26.211692	8.004043	2.0	80.0	-58.090296	21625113.153188	780.347709	10.0	742.0	33.0	1164.0	112.0	8647.0	13	vertical	1
26.311701	8.0	2.0	80.0	-58.096774	21974935.223851	780.0	15.0	744.0	35.0	1251.0	127.0	37407.0	13	vertical	1
26.412578	8.0	2.0	80.0	-58.010563	25013664.862558	780.0	14.0	852.0	44.0	1244.0	110.0	20916.0	13	vertical	1
26.513086	8.004908	2.0	80.0	-58.038037	24101795.443512	780.422086	19.0	815.0	47.0	1216.0	110.0	12736.0	13	vertical	1
26.614363	8.0	2.0	80.0	-57.988079	22200967.76219	780.0	7.0	755.0	30.0	1229.0	128.0	20986.0	13	vertical	1
26.715459	8.0	2.0	80.0	-58.059722	21108861.081485	780.0	4.0	720.0	25.0	1223.0	109.0	12816.0	13	vertical	1
26.816631	8.0	2.0	80.0	-58.00534	21831578.028044	780.0	11.0	749.0	31.0	1233.0	117.0	12803.0	13	vertical	1
26.917086	8.0	2.0	80.0	-58.082794	22833329.822621	780.0	10.0	773.0	29.0	1242.0	107.0	12790.0	13	vertical	1
27.018928	8.0	2.0	80.0	-58.050388	22537047.147323	780.0	11.0	774.0	30.0	1243.0	123.0	20975.0	13	vertical	1
27.119878	8.0	2.0	80.0	-58.065675	23553290.469509	780.0	13.0	807.0	46.0	1284.0	109.0	16908.0	13	vertical	1
27.220537	8.0	2.0	80.0	-58.065508	21867569.002785	780.0	10.0	748.0	16.0	1222.0	138.0	25068.0	13	vertical	1
27.320695	8.0	2.0	80.0	-57.981889	22853515.429118	780.0	11.0	773.0	22.0	1257.0	136.0	29179.0	13	vertical	1
27.421183	8.005115	2.0	80.0	-58.024297	23132556.51679	780.439898	7.0	782.0	35.0	1234.0	120.0	4582.0	13	vertical	1
27.521342	8.0	2.0	80.0	-58.03548	22620206.068573	780.0	8.0	761.0	44.0	1204.0	133.0	12776.0	13	vertical	1
27.622368	8.0	2.0	80.0	-58.044755	21012383.508916	780.0	6.0	715.0	22.0	1265.0	114.0	16956.0	13	vertical	1
27.722885	8.0	2.0	80.0	-58.069869	20121643.340628	780.0	7.0	687.0	12.0	1213.0	137.0	41498.0	13	vertical	1
27.824415	8.0	2.0	80.0	-58.077225	22196633.459704	780.0	5.0	764.0	32.0	1252.0	118.0	4616.0	13	vertical	1
